bench,C2 nmethods,total_size,total_header_size,total_header_size %,total_consts_size,total_consts_size %,total_inst_size,total_inst_size %,total_stub_size,total_stub_size %,(total_inst_size+total_stub_size) %,total_oops_size,total_oops_size %,total_metadata_size,total_metadata_size %,total_scopes_data_size,total_scopes_data_size %,total_scopes_pcs_size,total_scopes_pcs_size %,total_deps_size,total_deps_size %,total_handler_table_size,total_handler_table_size %,total_nul_chk_table_size,total_nul_chk_table_size %
h2,1420,8415296,488480,5.8%,2944,0.0%,3502464,41.6%,944672,11.2%,52.8%,28616,0.3%,218592,2.6%,1550048,18.4%,761360,9.0%,45880,0.5%,212664,2.5%,96984,1.2%
kafka,1600,6263720,550400,8.8%,576,0.0%,2678848,42.8%,567136,9.1%,51.8%,22944,0.4%,176976,2.8%,1165248,18.6%,499872,8.0%,31920,0.5%,123664,2.0%,62648,1.0%
eclipse,5215,38367872,1793960,4.7%,1216,0.0%,17375104,45.3%,4320176,11.3%,56.5%,94440,0.2%,819448,2.1%,6108368,15.9%,3465072,9.0%,170384,0.4%,1266400,3.3%,410160,1.1%
tradesoap,1930,7502320,663920,8.8%,512,0.0%,3428992,45.7%,720192,9.6%,55.3%,21904,0.3%,162088,2.2%,1156768,15.4%,602688,8.0%,26520,0.4%,173952,2.3%,72800,1.0%
tradebeans,2429,12067240,835576,6.9%,704,0.0%,5366400,44.5%,1218144,10.1%,54.6%,42152,0.3%,295448,2.4%,2061568,17.1%,1013664,8.4%,56376,0.5%,280560,2.3%,129296,1.1%
xalan,824,3888000,283456,7.3%,512,0.0%,1792448,46.1%,402704,10.4%,56.5%,11240,0.3%,93560,2.4%,562224,14.5%,337968,8.7%,19328,0.5%,80856,2.1%,49816,1.3%
jme,377,1086408,129688,11.9%,448,0.0%,437568,40.3%,111936,10.3%,50.6%,2608,0.2%,24472,2.3%,176584,16.3%,93056,8.6%,5272,0.5%,23032,2.1%,11256,1.0%
biojava,409,1482184,140696,9.5%,1024,0.1%,657024,44.3%,140448,9.5%,53.8%,3952,0.3%,36192,2.4%,243560,16.4%,118432,8.0%,6488,0.4%,27744,1.9%,14824,1.0%
avrora,475,1342400,163400,12.2%,768,0.1%,543616,40.5%,131920,9.8%,50.3%,3952,0.3%,40224,3.0%,200000,14.9%,120608,9.0%,10544,0.8%,17952,1.3%,21408,1.6%
fop,1410,6373744,485040,7.6%,3968,0.1%,2876864,45.1%,654720,10.3%,55.4%,18464,0.3%,147272,2.3%,959672,15.1%,544688,8.5%,29952,0.5%,161408,2.5%,70144,1.1%
batik,916,4072616,315104,7.7%,3008,0.1%,1840320,45.2%,394960,9.7%,54.9%,9584,0.2%,94368,2.3%,665184,16.3%,340576,8.4%,22200,0.5%,87808,2.2%,42576,1.0%
pmd,2551,14129080,877544,6.2%,576,0.0%,7022272,49.7%,1424112,10.1%,59.8%,42344,0.3%,337136,2.4%,1766392,12.5%,1108256,7.8%,59912,0.4%,439512,3.1%,135976,1.0%
luindex,774,3332656,266256,8.0%,128,0.0%,1499200,45.0%,340208,10.2%,55.2%,7096,0.2%,65136,2.0%,520944,15.6%,296544,8.9%,11296,0.3%,67944,2.0%,45792,1.4%
cassandra,152,271576,52288,19.3%,0,0.0%,107712,39.7%,24576,9.0%,48.7%,544,0.2%,5744,2.1%,33048,12.2%,21584,7.9%,1416,0.5%,3960,1.5%,2592,1.0%
graphchi,244,697936,83936,12.0%,576,0.1%,302720,43.4%,62288,8.9%,52.3%,1688,0.2%,13656,2.0%,114312,16.4%,54512,7.8%,3336,0.5%,11904,1.7%,7440,1.1%